,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Yellowknife,62.456,-114.3525,66.72,68,75,11.5,CA,1658972293
1,Bluff,-46.6,168.3333,47.8,87,100,12.66,NZ,1658972142
2,Baruun-Urt,46.6806,113.2792,68.25,42,12,2.93,MN,1658972301
3,Raudeberg,61.9875,5.1352,45.27,72,20,6.44,NO,1658972302
4,Manduria,40.4018,17.6335,78.98,81,0,9.82,IT,1658972302
5,Ayutla,20.1167,-104.3333,66.69,87,100,3.49,MX,1658972302
6,Rikitea,-23.1203,-134.9692,74.03,68,100,15.84,PF,1658972303
7,Praia Da Vitoria,38.7333,-27.0667,73.76,94,75,8.86,PT,1658972303
8,Hilo,19.7297,-155.09,86.29,76,75,10.36,US,1658972119
9,Grindavik,63.8424,-22.4338,49.95,93,75,23.02,IS,1658972303
10,Barrow,71.2906,-156.7887,33.82,100,100,17.27,US,1658972304
11,Orlik,52.5178,99.825,54.73,75,95,0.67,RU,1658972304
12,Mataura,-46.1927,168.8643,47.48,98,100,3.13,NZ,1658972304
13,Tiksi,71.6872,128.8694,68.67,59,84,5.61,RU,1658972305
14,Hobart,-42.8794,147.3294,53.06,65,88,3.0,AU,1658972305
15,Phayakkhaphum Phisai,15.5163,103.1937,87.42,63,6,6.6,TH,1658972305
16,Gorontalo,0.5412,123.0595,84.29,74,42,7.27,ID,1658972305
17,Vaini,-21.2,-175.2,80.76,83,20,9.22,TO,1658972140
18,Hit,33.6416,42.8251,88.84,14,0,8.34,IQ,1658972306
19,Yumen,40.2833,97.2,86.58,15,88,11.97,CN,1658972306
20,Longyearbyen,78.2186,15.6401,42.64,81,75,21.85,SJ,1658972306
21,Busselton,-33.65,115.3333,60.62,67,37,12.33,AU,1658972206
22,Port Hardy,50.6996,-127.4199,75.38,60,20,9.22,CA,1658972066
23,Haradok,55.4624,29.9816,57.31,95,99,6.85,BY,1658972307
24,Punta Arenas,-53.15,-70.9167,41.11,70,20,32.21,CL,1658972307
25,Bredasdorp,-34.5322,20.0403,48.56,92,0,5.68,ZA,1658972307
26,Inirida,3.8653,-67.9239,73.36,96,88,1.21,CO,1658972308
27,Sorong,-0.8833,131.25,81.41,80,15,3.74,ID,1658972308
28,Clyde River,70.4692,-68.5914,37.63,100,100,6.91,CA,1658972308
29,Petropavlovsk-Kamchatskiy,53.0452,158.6483,73.99,43,40,4.47,RU,1658972308
30,Cape Town,-33.9258,18.4232,60.39,79,0,1.14,ZA,1658972144
31,Sompeta,18.9333,84.6,83.79,75,94,4.16,IN,1658972309
32,Tres Arroyos,-38.3739,-60.2798,48.83,93,100,13.78,AR,1658972309
33,Te Anau,-45.4167,167.7167,41.79,98,100,1.63,NZ,1658972275
34,Dhidhdhoo,6.8833,73.1,81.5,76,34,15.99,MV,1658972309
35,Ushuaia,-54.8,-68.3,40.66,87,75,20.71,AR,1658972310
36,Ambon,-3.6954,128.1814,80.74,83,75,9.22,ID,1658972310
37,Lebu,-37.6167,-73.65,48.6,85,12,5.48,CL,1658972310
38,New Norfolk,-42.7826,147.0587,52.72,76,95,1.01,AU,1658972310
39,Puerto Leguizamo,-0.1934,-74.7819,68.92,99,96,2.35,CO,1658972311
40,Chuy,-33.6971,-53.4616,58.8,98,100,5.61,UY,1658972311
41,Callaway,30.153,-85.5699,83.91,82,0,1.99,US,1658972311
42,Namibe,-15.1961,12.1522,62.06,80,78,6.93,AO,1658972312
43,Port Alfred,-33.5906,26.891,63.27,81,81,17.56,ZA,1658972137
44,Vanimo,-2.6741,141.3028,86.05,66,49,7.25,PG,1658972312
45,Boralday,43.3578,76.8594,82.26,34,100,6.71,KZ,1658972372
46,Bandarbeyla,9.4942,50.8122,76.78,69,99,25.03,SO,1658972373
47,Young,-32.6833,-57.6333,63.07,94,86,6.29,UY,1658972373
48,Gizo,-8.103,156.8419,84.61,67,5,7.38,SB,1658972373
49,Qaanaaq,77.484,-69.3632,37.69,90,41,2.46,GL,1658972373
50,Zhanaozen,43.3,52.8,80.85,34,100,15.48,KZ,1658972374
51,Saint-Augustin,51.226,-58.6502,58.17,90,75,7.11,CA,1658972374
52,Kissidougou,9.1848,-10.0999,67.82,99,78,5.28,GN,1658972374
53,Bombay,19.0144,72.8479,78.78,100,75,0.0,IN,1658972147
54,Katsuura,35.1333,140.3,84.22,79,83,11.9,JP,1658972138
55,Auki,-8.7676,160.7034,86.52,61,19,3.83,SB,1658972092
56,Lompoc,34.6391,-120.4579,75.02,78,20,13.8,US,1658972232
57,Nome,64.5011,-165.4064,54.16,82,100,11.5,US,1658972375
58,Otradnoye,59.7775,30.8181,57.96,94,1,4.45,RU,1658972275
59,College,64.8569,-147.8028,61.07,63,75,12.66,US,1658972375
60,Rocha,-34.4833,-54.3333,64.08,93,100,8.3,UY,1658972376
61,Ponta Do Sol,32.6667,-17.1,72.23,76,0,5.21,PT,1658972076
62,Chifeng,42.2683,118.9636,65.53,85,100,2.39,CN,1658972376
63,Qeshm,26.9581,56.2719,85.87,74,100,22.24,IR,1658972376
64,Planaltina,-15.4528,-47.6142,59.99,55,1,4.29,BR,1658972377
65,Airai,-8.9266,125.4092,67.86,49,14,5.14,TL,1658972377
